,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
61,Beauty,False,1140.0,12138.5,21789.637719298247,23270.95513186415,1404.0,215702.0,none
62,Belt,True,5.0,33998.0,39064.6,33665.685004170045,8082.0,95282.0,none
63,Belt,False,1137.0,12105.0,21712.033421284083,23189.343868199776,1404.0,215702.0,none
64,Bicycle,True,1.0,9412.0,9412.0,,9412.0,9412.0,none
65,Bicycle,False,1141.0,12177.0,21798.854513584574,23259.75101463955,1404.0,215702.0,none
66,Bird,True,4.0,21196.5,39038.25,48148.864980564875,4770.0,108990.0,none
67,Bird,False,1138.0,12174.5,21727.374340949034,23138.94691419081,1404.0,215702.0,none
68,Black,True,2.0,8827.0,8827.0,1658.8725086636405,7654.0,10000.0,none
69,Black,False,1140.0,12200.0,21810.74649122807,23266.449952047835,1404.0,215702.0,none
70,Black hair,True,1.0,11630.0,11630.0,,11630.0,11630.0,none
71,Black hair,False,1141.0,12177.0,21796.91060473269,23260.69427564414,1404.0,215702.0,none
72,Black-and-white,True,1.0,16910.0,16910.0,,16910.0,16910.0,none
73,Black-and-white,False,1141.0,12172.0,21792.283085013147,23262.19249584295,1404.0,215702.0,none
74,Blazer,True,108.0,12400.0,24946.00925925926,27622.811814041168,3767.0,143057.0,none
75,Blazer,False,1034.0,12138.5,21458.1586073501,22738.014348467666,1404.0,215702.0,none
76,Blue,True,45.0,16080.0,23817.733333333334,21706.311609759956,3765.0,98520.0,none
77,Blue,False,1097.0,12016.0,21704.746581586143,23319.17833740516,1404.0,215702.0,none
78,Blurred,True,182.0,18854.0,27515.225274725275,28307.719960619586,2071.0,215702.0,greater
79,Blurred,False,960.0,10829.0,20702.222916666666,22014.54191617997,1404.0,151720.0,greater
80,Body of water,True,2.0,23420.0,23420.0,8968.942412570168,17078.0,29762.0,none
81,Body of water,False,1140.0,12138.5,21785.144736842107,23271.233121039484,1404.0,215702.0,none
82,Book,True,18.0,10000.0,14526.388888888889,13009.479381629602,2502.0,56324.0,none
83,Book,False,1124.0,12232.5,21904.297153024912,23364.96620171063,1404.0,215702.0,none
84,Bookcase,True,1.0,26818.0,26818.0,,26818.0,26818.0,none
85,Bookcase,False,1141.0,12172.0,21783.599474145485,23262.164078741265,1404.0,215702.0,none
86,Bottle,True,2.0,118417.5,118417.5,36022.14075398629,92946.0,143889.0,none
87,Bottle,False,1140.0,12138.5,21618.48245614035,22892.40177165824,1404.0,215702.0,none
88,Bow tie,True,1.0,61985.0,61985.0,,61985.0,61985.0,none
89,Bow tie,False,1141.0,12172.0,21752.778264680106,23232.130374648164,1404.0,215702.0,none
90,Brass instrument,True,1.0,3492.0,3492.0,,3492.0,3492.0,none
91,Brass instrument,False,1141.0,12177.0,21804.042944785277,23256.323837337266,1404.0,215702.0,none
92,Bridge,True,1.0,10965.0,10965.0,,10965.0,10965.0,none
93,Bridge,False,1141.0,12177.0,21797.49342681858,23260.430961885297,1404.0,215702.0,none
94,Building,True,21.0,34683.0,41800.380952380954,33273.17404828729,10000.0,134937.0,greater
95,Building,False,1121.0,11896.0,21413.110615521855,22877.81064712291,1404.0,215702.0,greater
96,Bumper,True,1.0,4036.0,4036.0,,4036.0,4036.0,none
97,Bumper,False,1141.0,12177.0,21803.566170026294,23256.693990405875,1404.0,215702.0,none
98,Bus,True,1.0,19679.0,19679.0,,19679.0,19679.0,none
99,Bus,False,1141.0,12172.0,21789.856266432955,23262.557591139393,1404.0,215702.0,none
100,Camera,True,3.0,52890.0,51182.333333333336,40355.606876038095,10000.0,90657.0,none
101,Camera,False,1139.0,12172.0,21710.586479367867,23172.303006896775,1404.0,215702.0,none
102,Cap,True,26.0,11012.5,23082.23076923077,23452.892804611878,2041.0,90657.0,none
103,Cap,False,1116.0,12200.0,21757.855734767025,23257.49871875115,1404.0,215702.0,none
104,Car,True,10.0,27214.5,25819.6,17555.574949918962,4036.0,50499.0,none
105,Car,False,1132.0,12077.5,21752.393109540637,23299.339941813727,1404.0,215702.0,none
106,Cartoon,True,1.0,27940.0,27940.0,,27940.0,27940.0,none
107,Cartoon,False,1141.0,12172.0,21782.616126205085,23261.92731813652,1404.0,215702.0,none
108,Cattle,True,1.0,11401.0,11401.0,,11401.0,11401.0,none
109,Cattle,False,1141.0,12177.0,21797.111305872044,23260.60548530204,1404.0,215702.0,none
110,Celebrating,True,7.0,10000.0,28469.714285714286,32439.654435655782,6103.0,95748.0,none
111,Celebrating,False,1135.0,12177.0,21746.79911894273,23198.459943110407,1404.0,215702.0,none
112,Chair,True,45.0,16831.0,28819.755555555555,28200.69042848835,3397.0,143889.0,greater
113,Chair,False,1097.0,11787.0,21499.558796718324,22996.40891825187,1404.0,215702.0,greater
114,Championship,True,7.0,16134.0,22920.428571428572,15996.012960080008,10000.0,47572.0,none
115,Championship,False,1135.0,12172.0,21781.023788546256,23294.890722642525,1404.0,215702.0,none
116,Cheek,True,13.0,16643.0,28895.846153846152,34517.471592528695,3789.0,136578.0,none
117,Cheek,False,1129.0,12050.0,21706.163861824625,23100.72281460789,1404.0,215702.0,none
118,Child,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
119,Child,False,1141.0,12177.0,21798.339176161262,23260.019168765746,1404.0,215702.0,none
120,Chin,True,102.0,13793.5,25105.57843137255,28511.615957077684,2042.0,148827.0,none
121,Chin,False,1040.0,11909.0,21462.63076923077,22661.561493689205,1404.0,215702.0,none
122,Christmas decoration,True,2.0,32170.0,32170.0,5658.268463054754,28169.0,36171.0,none
123,Christmas decoration,False,1140.0,12138.5,21769.793859649122,23268.1734607362,1404.0,215702.0,none
124,Christmas ornament,True,2.0,32170.0,32170.0,5658.268463054754,28169.0,36171.0,none
125,Christmas ornament,False,1140.0,12138.5,21769.793859649122,23268.1734607362,1404.0,215702.0,none
126,Christmas tree,True,1.0,28169.0,28169.0,,28169.0,28169.0,none
127,Christmas tree,False,1141.0,12172.0,21782.41542506573,23261.873156671954,1404.0,215702.0,none
128,Circle,True,1.0,2113.0,2113.0,,2113.0,2113.0,none
129,Circle,False,1141.0,12177.0,21805.251533742332,23255.33544298217,1404.0,215702.0,none
130,City,True,26.0,26365.5,33390.0,23525.68577363899,10000.0,108610.0,greater
131,City,False,1116.0,11782.0,21517.710573476703,23187.55300079307,1404.0,215702.0,greater
132,Cityscape,True,6.0,21548.5,27336.5,15418.152013130497,10000.0,48201.0,none
133,Cityscape,False,1136.0,12077.5,21758.702464788734,23287.842061350177,1404.0,215702.0,none
134,Clock,True,1.0,2994.0,2994.0,,2994.0,2994.0,none
135,Clock,False,1141.0,12177.0,21804.47940403155,23255.975183730436,1404.0,215702.0,none
136,Clothing,True,76.0,14477.5,20767.67105263158,18914.38579451324,3099.0,105037.0,none
137,Clothing,False,1066.0,11963.5,21860.75234521576,23536.910312083848,1404.0,215702.0,none
138,Cloud,True,28.0,15204.5,26156.10714285714,27219.325175104823,4070.0,108990.0,none
139,Cloud,False,1114.0,12138.5,21678.21723518851,23147.63369026317,1404.0,215702.0,none
140,Coat,True,105.0,18428.0,24792.838095238094,21379.980037554455,1668.0,120429.0,greater
141,Coat,False,1037.0,11630.0,21483.75795564127,23421.78209673873,1404.0,215702.0,greater
142,Coffee table,True,1.0,4003.0,4003.0,,4003.0,4003.0,none
143,Coffee table,False,1141.0,12177.0,21803.59509202454,23256.671854732627,1404.0,215702.0,none
144,Collage,True,3.0,26040.0,26588.333333333332,11114.648997306813,15758.0,37967.0,none
145,Collage,False,1139.0,12105.0,21775.364354697103,23277.10312829997,1404.0,215702.0,none
146,Collar,True,68.0,13615.5,31057.529411764706,33964.94105602747,3310.0,143057.0,none
147,Collar,False,1074.0,12077.5,21201.11080074488,22296.118509606596,1404.0,215702.0,none
148,Comfort,True,2.0,6608.5,6608.5,3987.3751391109413,3789.0,9428.0,none
149,Comfort,False,1140.0,12200.0,21814.63859649123,23263.841819352947,1404.0,215702.0,none
150,Communication Device,True,5.0,5954.0,10964.6,13820.390291160376,2792.0,35396.0,none
151,Communication Device,False,1137.0,12223.0,21835.604221635884,23278.005247917936,1404.0,215702.0,none
152,Community,True,84.0,14318.5,26027.535714285714,31769.86104707599,3549.0,215702.0,none
153,Community,False,1058.0,11961.5,21451.41020793951,22424.22350177354,1404.0,170772.0,none
154,Competition event,True,12.0,15010.0,26561.0,24822.907092954574,9380.0,90657.0,none
155,Competition event,False,1130.0,12138.5,21737.321238938053,23241.660600234693,1404.0,215702.0,none
156,Concert,True,8.0,17185.5,16564.125,6937.967846515701,6511.0,25545.0,none
157,Concert,False,1134.0,12138.5,21824.860670194004,23323.85980026323,1404.0,215702.0,none
158,Conference room table,True,1.0,21156.0,21156.0,,21156.0,21156.0,none
159,Conference room table,False,1141.0,12172.0,21788.561787905346,23262.63398869552,1404.0,215702.0,none
160,Confetti,True,2.0,34999.5,34999.5,35354.63195254619,10000.0,59999.0,none
161,Confetti,False,1140.0,12174.5,21764.829824561402,23242.65836123507,1404.0,215702.0,none
162,Cooking,True,1.0,4008.0,4008.0,,4008.0,4008.0,none
163,Cooking,False,1141.0,12177.0,21803.590709903594,23256.675211266433,1404.0,215702.0,none
164,Cool,True,5.0,16084.0,17282.4,10665.750714319176,2616.0,29709.0,none
165,Cool,False,1137.0,12105.0,21807.82145998241,23293.03864572027,1404.0,215702.0,none
166,Cosmetics,True,2.0,4660.5,4660.5,2496.7940443696993,2895.0,6426.0,none
167,Cosmetics,False,1140.0,12200.0,21818.056140350876,23261.644834679166,1404.0,215702.0,none
168,Costume hat,True,1.0,15499.0,15499.0,,15499.0,15499.0,none
169,Costume hat,False,1141.0,12172.0,21793.51971954426,23261.895149990003,1404.0,215702.0,none
170,Creative arts,True,1.0,27076.0,27076.0,,27076.0,27076.0,none
171,Creative arts,False,1141.0,12172.0,21783.373356704644,23262.113843263982,1404.0,215702.0,none
172,Cricket cap,True,3.0,10000.0,24658.666666666668,29491.160410084463,5369.0,58607.0,none
173,Cricket cap,False,1139.0,12177.0,21780.446883230903,23249.75792612676,1404.0,215702.0,none
174,Crowd,True,167.0,25107.0,31234.245508982036,22424.757349284784,5828.0,123851.0,greater
175,Crowd,False,975.0,10000.0,20170.036923076925,23016.402358857835,1404.0,215702.0,greater
176,Crutch,True,1.0,31432.0,31432.0,,31432.0,31432.0,none
177,Crutch,False,1141.0,12172.0,21779.555652936022,23260.8863664766,1404.0,215702.0,none
178,Cuisine,True,5.0,5925.0,6788.2,2493.237593972945,4008.0,9955.0,less
179,Cuisine,False,1137.0,12242.0,21853.970096745823,23281.739963536635,1404.0,215702.0,less
180,Cumulus,True,1.0,4070.0,4070.0,,4070.0,4070.0,none
181,Cumulus,False,1141.0,12177.0,21803.536371603856,23256.716753836805,1404.0,215702.0,none
182,Cup,True,2.0,7586.5,7586.5,3413.204432787465,5173.0,10000.0,none
183,Cup,False,1140.0,12200.0,21812.922807017545,23265.00830108434,1404.0,215702.0,none
184,Curtain,True,6.0,35107.5,52401.333333333336,48553.946709476324,16831.0,142567.0,none
185,Curtain,False,1136.0,12033.0,21626.31778169014,22981.919293952094,1404.0,215702.0,none
186,Customer,True,2.0,31558.5,31558.5,4510.634157188987,28369.0,34748.0,none
187,Customer,False,1140.0,12138.5,21770.866666666665,23268.859423238042,1404.0,215702.0,none
188,Cymbal,True,1.0,40550.0,40550.0,,40550.0,40550.0,none
189,Cymbal,False,1141.0,12172.0,21771.564417177913,23255.997879975705,1404.0,215702.0,none
190,Dairy cow,True,1.0,11401.0,11401.0,,11401.0,11401.0,none
191,Dairy cow,False,1141.0,12177.0,21797.111305872044,23260.60548530204,1404.0,215702.0,none
192,Daytime,True,6.0,18241.5,40444.333333333336,49032.70578161751,10000.0,134937.0,none
193,Daytime,False,1136.0,12174.5,21689.470950704224,23045.46640765363,1404.0,215702.0,none
194,Decoration,True,1.0,36171.0,36171.0,,36171.0,36171.0,none
195,Decoration,False,1141.0,12172.0,21775.40227870289,23258.73742105025,1404.0,215702.0,none
196,Desk,True,2.0,13894.0,13894.0,5506.9476118808325,10000.0,17788.0,none
197,Desk,False,1140.0,12174.5,21801.857017543858,23269.923985430272,1404.0,215702.0,none
198,Dish,True,2.0,6981.5,6981.5,4205.164027716398,4008.0,9955.0,none
199,Dish,False,1140.0,12200.0,21813.984210526316,23264.23099538428,1404.0,215702.0,none
200,Dishware,True,2.0,7564.0,7564.0,3381.38462763407,5173.0,9955.0,none
201,Dishware,False,1140.0,12200.0,21812.962280701755,23264.988202277942,1404.0,215702.0,none
202,Display device,True,13.0,27429.0,34578.846153846156,28756.27288333844,6912.0,104863.0,none
203,Display device,False,1129.0,12050.0,21640.7263064659,23156.060098357597,1404.0,215702.0,none
204,Door,True,1.0,4956.0,4956.0,,4956.0,4956.0,none
205,Door,False,1141.0,12177.0,21802.75985977213,23257.29454884544,1404.0,215702.0,none
206,Dress,True,7.0,10000.0,32882.42857142857,42438.18032486447,2997.0,120429.0,none
207,Dress,False,1135.0,12177.0,21719.584140969164,23102.384027396554,1404.0,215702.0,none
208,Dress shirt,True,72.0,15631.5,30918.069444444445,33234.03641666786,3767.0,143057.0,none
209,Dress shirt,False,1070.0,11963.5,21173.64859813084,22310.135210047923,1404.0,215702.0,none
210,Drinkware,True,2.0,49825.0,49825.0,63147.46398708344,5173.0,94477.0,none
211,Drinkware,False,1140.0,12174.5,21738.820175438595,23167.691417479895,1404.0,215702.0,none
212,Drum,True,2.0,21973.5,21973.5,26271.1382414238,3397.0,40550.0,none
213,Drum,False,1140.0,12174.5,21787.682456140352,23259.827906682945,1404.0,215702.0,none
214,Drumhead,True,1.0,40550.0,40550.0,,40550.0,40550.0,none
215,Drumhead,False,1141.0,12172.0,21771.564417177913,23255.997879975705,1404.0,215702.0,none
216,Ear,True,10.0,11032.5,23943.0,30742.590355690227,3944.0,105037.0,none
217,Ear,False,1132.0,12174.5,21768.97084805654,23192.553981634166,1404.0,215702.0,none
218,Elbow,True,1.0,42618.0,42618.0,,42618.0,42618.0,none
219,Elbow,False,1141.0,12172.0,21769.751971954425,23254.452330660348,1404.0,215702.0,none
220,Electric blue,True,59.0,11732.0,19311.5593220339,17943.982392791168,3104.0,108990.0,none
221,Electric blue,False,1083.0,12177.0,21922.92059095106,23506.297481632068,1404.0,215702.0,none
222,Electricity,True,3.0,21533.0,17699.0,6667.547600130051,10000.0,21564.0,none
223,Electricity,False,1139.0,12172.0,21798.777875329237,23280.44721113496,1404.0,215702.0,none
224,Electronic device,True,14.0,13180.5,20058.85714285714,19201.753817563895,2770.0,69114.0,none
225,Electronic device,False,1128.0,12174.5,21809.468971631206,23304.54950116935,1404.0,215702.0,none
226,Engineering,True,10.0,8380.5,7688.8,2795.7507359880597,1404.0,10000.0,less
227,Engineering,False,1132.0,12382.5,21912.559187279152,23315.68947883793,1668.0,215702.0,less
228,Entertainment,True,119.0,19507.0,27984.277310924368,29757.767240123416,2071.0,215702.0,greater
229,Entertainment,False,1023.0,10939.0,21067.22971652004,22280.003333331984,1404.0,151720.0,greater
230,Event,True,402.0,18901.0,26698.014925373136,24379.19839307793,2071.0,215702.0,greater
231,Event,False,740.0,10000.0,19120.67972972973,22182.133615874238,1404.0,170772.0,greater
232,Exposed,True,94.0,22026.0,29094.13829787234,25663.71713604116,2512.0,170772.0,greater
233,Exposed,False,1048.0,10764.0,21132.68702290076,22923.642418681702,1404.0,215702.0,greater
234,Eye,True,9.0,9345.0,29979.333333333332,45398.590735286045,4320.0,143889.0,none
235,Eye,False,1133.0,12223.0,21722.93998234775,23018.93954260287,1404.0,215702.0,none
236,Eyebrow,True,33.0,13400.0,27961.939393939392,34207.605426223745,2042.0,136578.0,none
237,Eyebrow,False,1109.0,12105.0,21604.293056807935,22843.272431283054,1404.0,215702.0,none
238,Eyelash,True,25.0,12957.0,25492.2,32025.58137125174,2652.0,136578.0,none
239,Eyelash,False,1117.0,12172.0,21705.102954341986,23030.78715952669,1404.0,215702.0,none
240,Eyewear,True,27.0,16580.0,22969.59259259259,21559.012877465248,3517.0,93465.0,none
241,Eyewear,False,1115.0,12105.0,21759.39551569507,23300.171902159378,1404.0,215702.0,none
242,Face,True,18.0,18851.5,27682.5,28358.490765553797,5761.0,107519.0,none
243,Face,False,1124.0,12077.5,21693.612099644128,23164.683281465568,1404.0,215702.0,none
244,Facial expression,True,90.0,10729.5,20686.955555555556,26204.147321167755,3262.0,170772.0,none
245,Facial expression,False,1052.0,12254.5,21882.204372623575,22993.827279016856,1404.0,215702.0,none
246,Facial hair,True,46.0,12585.5,22266.521739130436,22097.736266906148,2042.0,105037.0,none
247,Facial hair,False,1096.0,12094.0,21767.924270072992,23309.053973674785,1404.0,215702.0,none
248,Fan,True,140.0,22366.0,29826.335714285713,23801.2492570419,6047.0,134937.0,greater
249,Fan,False,1002.0,10435.0,20664.888223552894,22963.684858819714,1404.0,215702.0,greater
250,Fashion,True,10.0,15552.5,16320.2,10672.488357142083,3455.0,34875.0,none
251,Fashion,False,1132.0,12138.5,21836.310070671378,23329.887918887187,1404.0,215702.0,none
252,Fashion design,True,5.0,49311.0,37955.4,26664.384735073112,8494.0,62521.0,none
253,Fashion design,False,1137.0,12172.0,21716.911169744944,23224.92081722937,1404.0,215702.0,none
254,Fast food,True,1.0,9955.0,9955.0,,9955.0,9955.0,none
255,Fast food,False,1141.0,12177.0,21798.37861524978,23259.99910803196,1404.0,215702.0,none
256,Fedora,True,2.0,7828.5,7828.5,721.956023591465,7318.0,8339.0,none
257,Fedora,False,1140.0,12200.0,21812.498245614035,23265.475912771657,1404.0,215702.0,none
258,Fence,True,1.0,17078.0,17078.0,,17078.0,17078.0,none
259,Fence,False,1141.0,12172.0,21792.135845749344,23262.222892981612,1404.0,215702.0,none
260,Field house,True,3.0,10000.0,13596.0,6228.454704017683,10000.0,20788.0,none
261,Field house,False,1139.0,12177.0,21809.584723441614,23277.800336892455,1404.0,215702.0,none
262,Finger,True,28.0,10000.0,13722.035714285714,11908.656044090578,2512.0,47808.0,none
263,Finger,False,1114.0,12382.5,21990.743267504487,23434.16272144459,1404.0,215702.0,none
264,Flag,True,46.0,30754.0,35219.15217391304,25321.170940949254,10000.0,134937.0,greater
265,Flag,False,1096.0,11481.5,21224.29197080292,23003.13263750004,1404.0,215702.0,greater
266,Flag of the united states,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
267,Flag of the united states,False,1141.0,12177.0,21798.339176161262,23260.019168765746,1404.0,215702.0,none
268,Flash photography,True,12.0,9890.0,14171.25,12422.213322951313,4036.0,49311.0,none
269,Flash photography,False,1130.0,12200.0,21868.893805309734,23330.159324328335,1404.0,215702.0,none
270,Flat panel display,True,1.0,104863.0,104863.0,,104863.0,104863.0,none
271,Flat panel display,False,1141.0,12172.0,21715.198948290974,23132.040067719823,1404.0,215702.0,none
