Class,Increases Likes,Posts Count,Clustering Size 3,Clustering Size 2,Clustering Size 4,Clustering Size 3 Posts Count,Clustering Size 2 Posts Count,Clustering Size 4 Posts Count
Crowd,False,31,0,0,0,35,35,35
Fan,False,21,0,0,0,35,35,35
Bookcase,False,10,1,1,1,13,18,10
Shelving,False,9,1,1,3,13,18,9
Beard,True,5,2,1,2,5,18,5
