,ID,Autor,Data,Texto,Link,Rede,Tipo,Curtidas,Comentários,Compart.,Hora,Curtidas Normalizadas,Class
1947,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Hat
1948,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Font
1949,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Photo caption
1950,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Person
1951,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Adaptation
1952,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Community
1953,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Poster
1954,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Gesture
1955,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Watch
1956,267949976607343_634489948038025,Lula,2022-07-31,"Na próxima quarta, Lula visita o povo piauiense em Teresina. Registre sua presença no link: http://lula.com.br/piaui-com-lula/ #equipeLula",https://www.facebook.com/532424834911204/posts/634489948038025,facebook,photo,12172,1449,825,16:41:48,0.0502478,Muscle
