,count,mean,std,min,25%,50%,75%,max
Foto em close,1091.0,0.10795415398716775,0.1154429084031481,0.0,0.03847935,0.0733428,0.13627414999999998,1.0
Eventos externos com publico,810.0,0.07712165703703704,0.08966835373215273,0.000233,0.0297624,0.052305050000000006,0.089526775,1.0
Ambiente interno/escritorio,65.0,0.06725152307692309,0.07331232593306013,0.0004751,0.0180623,0.0443642,0.0933292,0.3837549
Motociatas,254.0,0.06904773700787402,0.10653541208580174,0.000233,0.023546150000000002,0.038957450000000005,0.068045575,1.0
