,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
62,Band plays,True,1.0,47799.0,47799.0,,47799.0,47799.0,none
63,Band plays,False,844.0,53241.0,74196.60781990521,70246.59496415715,6665.0,764231.0,none
64,Bank,True,1.0,86833.0,86833.0,,86833.0,86833.0,none
65,Bank,False,844.0,53121.5,74150.35900473934,70251.11499084528,6665.0,764231.0,none
66,Baseball cap,True,52.0,39179.5,52485.5,47607.60434459365,13615.0,309171.0,less
67,Baseball cap,False,793.0,55177.0,75586.99873896595,71234.74653395147,6665.0,764231.0,less
68,Bathroom,True,1.0,42176.0,42176.0,,42176.0,42176.0,none
69,Bathroom,False,844.0,53241.0,74203.27014218009,70243.82105889614,6665.0,764231.0,none
70,Beard,True,12.0,60317.5,79827.16666666667,62321.683859316625,29555.0,235914.0,none
71,Beard,False,833.0,53092.0,74083.80552220889,70348.00411857426,6665.0,764231.0,none
72,Bedrock,True,2.0,46656.5,46656.5,9696.555290411126,39800.0,53513.0,none
73,Bedrock,False,843.0,53151.0,74230.63226571768,70280.56531744513,6665.0,764231.0,none
74,Belt,True,2.0,127961.5,127961.5,56416.514536968694,88069.0,167854.0,none
75,Belt,False,843.0,53092.0,74037.7378410439,70218.23637573507,6665.0,764231.0,none
76,Bicycle,True,1.0,34216.0,34216.0,,34216.0,34216.0,none
77,Bicycle,False,844.0,53241.0,74212.70142180094,70238.98001076227,6665.0,764231.0,none
78,Bicycle clothing,True,2.0,32506.5,32506.5,11822.118274657889,24147.0,40866.0,none
79,Bicycle clothing,False,843.0,53331.0,74264.2028469751,70263.59843380749,6665.0,764231.0,none
80,Bicycle helmet,True,2.0,37541.0,37541.0,4702.260094890541,34216.0,40866.0,none
81,Bicycle helmet,False,843.0,53331.0,74252.25860023724,70271.26979735777,6665.0,764231.0,none
82,Bicycle tire,True,1.0,483807.0,483807.0,,483807.0,483807.0,none
83,Bicycle tire,False,844.0,53121.5,73680.01066350711,68819.44088918483,6665.0,764231.0,none
84,Bicycles--Equipment and supplies,True,12.0,36893.5,46075.666666666664,23535.034902858926,22722.0,94028.0,none
85,Bicycles--Equipment and supplies,False,833.0,53513.0,74570.02160864345,70581.82612599919,6665.0,764231.0,none
86,Billboard,True,1.0,38324.0,38324.0,,38324.0,38324.0,none
87,Billboard,False,844.0,53241.0,74207.83412322275,70241.61219884362,6665.0,764231.0,none
88,Biome,True,1.0,68298.0,68298.0,,68298.0,68298.0,none
89,Biome,False,844.0,53121.5,74172.31990521327,70252.18040517777,6665.0,764231.0,none
90,Black,True,2.0,29805.0,29805.0,13044.705899329429,20581.0,39029.0,none
91,Black,False,843.0,53331.0,74270.61209964413,70259.40417334561,6665.0,764231.0,none
92,Black hair,True,1.0,30422.0,30422.0,,30422.0,30422.0,none
93,Black hair,False,844.0,53241.0,74217.19668246445,70236.2954583466,6665.0,764231.0,none
94,Blazer,True,73.0,77227.0,109423.95890410959,95468.71450833141,10000.0,557648.0,greater
95,Blazer,False,772.0,50951.0,70831.33031088083,66455.46856657528,6665.0,764231.0,greater
96,Block party,True,1.0,126086.0,126086.0,,126086.0,126086.0,none
97,Block party,False,844.0,53121.5,74103.85071090047,70229.68133797953,6665.0,764231.0,none
98,Blue,True,14.0,90509.0,128304.07142857143,89686.07330741044,26304.0,337966.0,greater
99,Blue,False,831.0,52535.0,73253.28399518652,69544.63263527007,6665.0,764231.0,greater
100,Blurred,True,156.0,57275.5,69677.53846153847,46213.49683949479,10000.0,235914.0,none
101,Blurred,False,689.0,52456.0,75181.48040638606,74569.16526816346,6665.0,764231.0,none
102,Boat,True,2.0,58189.0,58189.0,20547.108847718697,43660.0,72718.0,none
103,Boat,False,843.0,53151.0,74203.27164887307,70286.28702703018,6665.0,764231.0,none
104,Boats and boating--Equipment and supplies,True,1.0,34856.0,34856.0,,34856.0,34856.0,none
105,Boats and boating--Equipment and supplies,False,844.0,53241.0,74211.94312796209,70239.40885964852,6665.0,764231.0,none
106,Body of water,True,4.0,72090.0,70824.25,14853.63372769999,52284.0,86833.0,none
107,Body of water,False,841.0,53092.0,74181.25921521998,70371.83260912039,6665.0,764231.0,none
108,Bodybuilder,True,1.0,76692.0,76692.0,,76692.0,76692.0,none
109,Bodybuilder,False,844.0,53121.5,74162.37440758295,70252.4174373441,6665.0,764231.0,none
110,Bodybuilding,True,1.0,76692.0,76692.0,,76692.0,76692.0,none
111,Bodybuilding,False,844.0,53121.5,74162.37440758295,70252.4174373441,6665.0,764231.0,none
112,Book,True,10.0,72484.0,81441.1,51296.017751976724,22880.0,212560.0,none
113,Book,False,835.0,52770.0,74078.23353293413,70424.65550075367,6665.0,764231.0,none
114,Bookcase,True,11.0,67600.0,71601.72727272728,25800.98027242728,35849.0,116658.0,none
115,Bookcase,False,834.0,52765.5,74199.18105515587,70615.71310345054,6665.0,764231.0,none
116,Bottle,True,1.0,128295.0,128295.0,,128295.0,128295.0,none
117,Bottle,False,844.0,53121.5,74101.23341232227,70227.70049710818,6665.0,764231.0,none
118,Bowtie,True,1.0,73761.0,73761.0,,73761.0,73761.0,none
119,Bowtie,False,844.0,53121.5,74165.8471563981,70252.47001611898,6665.0,764231.0,none
120,Brick,True,2.0,76060.5,76060.5,78488.1456049256,20561.0,131560.0,none
121,Brick,False,843.0,53151.0,74160.87188612099,70242.0553632466,6665.0,764231.0,none
122,Brickwork,True,2.0,76060.5,76060.5,78488.1456049256,20561.0,131560.0,none
123,Brickwork,False,843.0,53151.0,74160.87188612099,70242.0553632466,6665.0,764231.0,none
124,Bridge,True,3.0,39987.0,41220.333333333336,10501.459057356427,31390.0,52284.0,none
125,Bridge,False,842.0,53422.0,74282.74940617578,70306.46452352733,6665.0,764231.0,none
126,Building,True,49.0,50760.0,59834.30612244898,38376.016226068896,12417.0,202951.0,none
127,Building,False,796.0,53422.0,75047.55653266332,71631.27839418671,6665.0,764231.0,none
128,Building material,True,1.0,131560.0,131560.0,,131560.0,131560.0,none
129,Building material,False,844.0,53121.5,74097.36492890996,70224.62149266721,6665.0,764231.0,none
130,Bull,True,2.0,58450.0,58450.0,25081.07752868684,40715.0,76185.0,none
131,Bull,False,843.0,53151.0,74202.65243179123,70284.67927760484,6665.0,764231.0,none
132,Bumper,True,2.0,122611.5,122611.5,74846.54568181487,69687.0,175536.0,none
133,Bumper,False,843.0,53092.0,74050.4306049822,70207.05051699122,6665.0,764231.0,none
134,Button,True,1.0,29343.0,29343.0,,29343.0,29343.0,none
135,Button,False,844.0,53241.0,74218.47511848342,70235.48750780933,6665.0,764231.0,none
136,Cabinetry,True,2.0,95732.5,95732.5,106898.28185943869,20144.0,171321.0,none
137,Cabinetry,False,843.0,53151.0,74114.20047449585,70189.68765117157,6665.0,764231.0,none
138,Cable television,True,1.0,20144.0,20144.0,,20144.0,20144.0,none
139,Cable television,False,844.0,53241.0,74229.37440758295,70227.79950325667,6665.0,764231.0,none
140,Cable-stayed bridge,True,1.0,52284.0,52284.0,,52284.0,52284.0,none
141,Cable-stayed bridge,False,844.0,53241.0,74191.29383886256,70248.42418081319,6665.0,764231.0,none
142,Camera,True,14.0,60438.0,96641.14285714286,137221.86506241924,20882.0,557648.0,none
143,Camera,False,831.0,53092.0,73786.71480144405,68623.04130065275,6665.0,764231.0,none
144,Camera lens,True,1.0,114688.0,114688.0,,114688.0,114688.0,none
145,Camera lens,False,844.0,53121.5,74117.35545023697,70238.58999775209,6665.0,764231.0,none
146,Cameras & optics,True,1.0,20882.0,20882.0,,20882.0,20882.0,none
147,Cameras & optics,False,844.0,53241.0,74228.5,70228.46911153413,6665.0,764231.0,none
148,Camouflage,True,1.0,40045.0,40045.0,,40045.0,40045.0,none
149,Camouflage,False,844.0,53241.0,74205.79502369669,70242.63008808135,6665.0,764231.0,none
150,Candle,True,1.0,39997.0,39997.0,,39997.0,39997.0,none
151,Candle,False,844.0,53241.0,74205.8518957346,70242.60237745607,6665.0,764231.0,none
152,Cap,True,43.0,41806.0,58934.83720930233,52362.69697751045,15317.0,309171.0,none
153,Cap,False,802.0,54795.0,74981.96758104739,70973.99034591418,6665.0,764231.0,none
154,Car,True,43.0,30186.0,40889.25581395349,33659.090281465695,10000.0,202951.0,less
155,Car,False,802.0,55267.5,75949.49875311721,71219.10081298318,6665.0,764231.0,less
156,Celebrating,True,2.0,128270.0,128270.0,34602.97744414489,103802.0,152738.0,none
157,Celebrating,False,843.0,53092.0,74037.0059311981,70234.46084170944,6665.0,764231.0,none
158,Chair,True,39.0,51211.0,79392.07692307692,66736.0928541767,17183.0,337966.0,none
159,Chair,False,806.0,53241.0,73912.46277915633,70404.26832591408,6665.0,764231.0,none
160,Championship,True,5.0,50977.0,100797.2,115321.45026923655,14605.0,300629.0,none
161,Championship,False,840.0,53241.0,74006.84523809524,69937.71177332054,6665.0,764231.0,none
162,Cheek,True,7.0,99662.0,102584.71428571429,53789.08784847934,30422.0,171509.0,none
163,Cheek,False,838.0,52765.5,73927.97494033413,70308.16254782387,6665.0,764231.0,none
164,Chest,True,1.0,76692.0,76692.0,,76692.0,76692.0,none
165,Chest,False,844.0,53121.5,74162.37440758295,70252.4174373441,6665.0,764231.0,none
166,Chin,True,34.0,89642.5,143394.4705882353,150059.125954392,36446.0,764231.0,greater
167,Chin,False,811.0,51859.0,71263.0382244143,63320.49323365113,6665.0,526582.0,greater
168,Chute,True,1.0,38496.0,38496.0,,38496.0,38496.0,none
169,Chute,False,844.0,53241.0,74207.63033175355,70241.71618166451,6665.0,764231.0,none
170,Cinematographer,True,1.0,96938.0,96938.0,,96938.0,96938.0,none
171,Cinematographer,False,844.0,53121.5,74138.38625592417,70248.08775614545,6665.0,764231.0,none
172,City,True,54.0,40513.0,51022.59259259259,37768.23325880183,10000.0,246762.0,less
173,City,False,791.0,54993.0,75745.2793931732,71635.97261647193,6665.0,764231.0,less
174,Clergy,True,1.0,39997.0,39997.0,,39997.0,39997.0,none
175,Clergy,False,844.0,53241.0,74205.8518957346,70242.60237745607,6665.0,764231.0,none
176,Clock,True,2.0,56496.5,56496.5,1866.0547955512989,55177.0,57816.0,none
177,Clock,False,843.0,53092.0,74207.28706998813,70288.85995032938,6665.0,764231.0,none
178,Clothes hanger,True,1.0,81557.0,81557.0,,81557.0,81557.0,none
179,Clothes hanger,False,844.0,53121.5,74156.61018957346,70252.00957352274,6665.0,764231.0,none
180,Clothing,True,83.0,50084.0,76981.4578313253,76240.33791246827,10000.0,520095.0,none
181,Clothing,False,762.0,53688.5,73858.62860892389,69569.61916994074,6665.0,764231.0,none
182,Cloud,True,117.0,34312.0,45358.48717948718,39471.25758910884,10000.0,288090.0,less
183,Cloud,False,728.0,56960.0,78795.04532967033,72933.5206664629,6665.0,764231.0,less
184,Coastal and oceanic landforms,True,1.0,86833.0,86833.0,,86833.0,86833.0,none
185,Coastal and oceanic landforms,False,844.0,53121.5,74150.35900473934,70251.11499084528,6665.0,764231.0,none
186,Coat,True,75.0,67600.0,96261.37333333334,81965.63198530607,10000.0,390339.0,greater
187,Coat,False,770.0,51828.0,72013.15974025974,68640.97111785175,6665.0,764231.0,greater
188,Coffee cup,True,1.0,26652.0,26652.0,,26652.0,26652.0,none
189,Coffee cup,False,844.0,53241.0,74221.663507109,70233.38668173284,6665.0,764231.0,none
190,Coffee table,True,1.0,40540.0,40540.0,,40540.0,40540.0,none
191,Coffee table,False,844.0,53241.0,74205.20853080568,70242.91358100063,6665.0,764231.0,none
192,Collar,True,80.0,77735.0,110150.425,102932.29645248203,10000.0,764231.0,greater
193,Collar,False,765.0,50760.0,70402.22483660131,64810.57330081468,6665.0,557648.0,greater
194,Comb over,True,3.0,56792.0,61094.666666666664,8387.186735332256,55732.0,70760.0,none
195,Comb over,False,842.0,52931.0,74211.93824228029,70330.4191053715,6665.0,764231.0,none
196,Comfort,True,4.0,79156.5,75916.25,53079.3213808353,20581.0,124771.0,none
197,Comfort,False,841.0,53151.0,74157.04042806182,70306.18279572221,6665.0,764231.0,none
198,Communication Device,True,2.0,75356.0,75356.0,45427.36805054856,43234.0,107478.0,none
199,Communication Device,False,843.0,53151.0,74162.54329774615,70276.71739905178,6665.0,764231.0,none
200,Community,True,41.0,73457.0,87816.26829268293,63019.82044762758,18490.0,288090.0,none
201,Community,False,804.0,52517.0,73469.24004975124,70522.51748264875,6665.0,764231.0,none
202,Competition event,True,19.0,55496.0,102932.42105263157,121946.71654561804,14605.0,526582.0,none
203,Competition event,False,826.0,53121.5,73503.65617433414,68550.24594388923,6665.0,764231.0,none
204,Composite material,True,2.0,121990.5,121990.5,75724.77230404856,68445.0,175536.0,none
205,Composite material,False,843.0,53092.0,74051.90391459074,70206.94577789206,6665.0,764231.0,none
206,Computer,True,2.0,37024.5,37024.5,14668.930175714928,26652.0,47397.0,none
207,Computer,False,843.0,53331.0,74253.48398576512,70268.99281456957,6665.0,764231.0,none
208,Computer keyboard,True,1.0,26652.0,26652.0,,26652.0,26652.0,none
209,Computer keyboard,False,844.0,53241.0,74221.663507109,70233.38668173284,6665.0,764231.0,none
210,Computer monitor accessory,True,1.0,20144.0,20144.0,,20144.0,20144.0,none
211,Computer monitor accessory,False,844.0,53241.0,74229.37440758295,70227.79950325667,6665.0,764231.0,none
212,Concert,True,7.0,90230.0,150537.14285714287,167070.99084962712,52770.0,520095.0,none
213,Concert,False,838.0,52736.0,73527.41766109785,68713.25043322392,6665.0,764231.0,none
214,Conference room table,True,2.0,233424.0,233424.0,223985.97243577553,75042.0,391806.0,none
215,Conference room table,False,843.0,53092.0,73787.53024911032,69435.57414233021,6665.0,764231.0,none
216,Cool,True,4.0,158919.0,142812.25,80786.77304020751,30422.0,222989.0,none
217,Cool,False,841.0,53092.0,73838.86682520808,70051.27093353604,6665.0,764231.0,none
218,Cosmetic dentistry,True,1.0,26023.0,26023.0,,26023.0,26023.0,none
219,Cosmetic dentistry,False,844.0,53241.0,74222.40876777252,70232.87796465466,6665.0,764231.0,none
220,Couch,True,1.0,40540.0,40540.0,,40540.0,40540.0,none
221,Couch,False,844.0,53241.0,74205.20853080568,70242.91358100063,6665.0,764231.0,none
222,Crew,True,2.0,41902.5,41902.5,23714.240120653245,25134.0,58671.0,none
223,Crew,False,843.0,53151.0,74241.91103202847,70271.79435789511,6665.0,764231.0,none
224,Cricket cap,True,2.0,37887.0,37887.0,11783.227401692628,29555.0,46219.0,none
225,Cricket cap,False,843.0,53331.0,74251.43772241993,70270.71067230862,6665.0,764231.0,none
226,Crowd,True,229.0,45810.0,60285.28820960699,57178.351412027194,10000.0,526582.0,less
227,Crowd,False,616.0,56643.0,79325.33279220779,73855.67045342451,6665.0,764231.0,less
228,Cumulus,True,1.0,55697.0,55697.0,,55697.0,55697.0,none
229,Cumulus,False,844.0,53121.5,74187.25,70249.58828940327,6665.0,764231.0,none
230,Curtain,True,9.0,73317.0,95185.88888888889,60270.42303121085,32347.0,191326.0,none
231,Curtain,False,836.0,52931.0,73939.07057416267,70307.03106159165,6665.0,764231.0,none
232,Customer,True,2.0,45359.5,45359.5,31790.81377536599,22880.0,67839.0,none
233,Customer,False,843.0,53151.0,74233.70937129301,70271.58259341151,6665.0,764231.0,none
234,Daytime,True,6.0,60831.5,59824.0,49002.102350817564,10000.0,134065.0,none
235,Daytime,False,839.0,53151.0,74267.92848629321,70349.46439964611,6665.0,764231.0,none
236,Decoration,True,1.0,39997.0,39997.0,,39997.0,39997.0,none
