,ID,Autor,Data,Texto,Link,Rede,Tipo,Curtidas,Comentários,Compart.,Hora,Curtidas Normalizadas,Class
192,211857482296579_603211881156237,Jair Bolsonaro,2022-07-01,"- Isso pode afetar pessoas muito sensíveis, mas é uma verdade que não pode ser ignorada. A violência está, sim, em todos os lugares e deve ser combatida, nós inclusive endurecemos penas para crimes contra a mulher, a diferença é que para o crime organizado essa violência é lei.

- É comum ver mulheres sendo gravadas e submetidas a práticas absurdamente cruéis, que fariam inveja a qualquer grupo terrorista. Muitas pagam por motivos banais, como viver num lugar dominado por uma facção e estar em uma região dominada pelo grupo rival.

- Não há ambiente mais nocivo às mulheres do que os dominados pelo narcotráfico. Usar figuras femininas para amenizar a imagem dos que apoiam essas práticas é não apenas colaborar com o crime, mas fazer demagogia manipulando inocentes, que serão as primeiras vítimas dos criminosos.

- Enquanto uns vivem de falsas promessas e frases de efeito para enganar o público feminino, nós temos enfrentado esse verdadeiro mal, endurecendo penas para crimes contra mulher, reduzindo a violência, ampliando o direito de se defender e atacando fortemente o crime organizado.",https://www.facebook.com/522427482568011/posts/603211881156237,facebook,photo,118267,8595,16873,18:36:09,0.1473165,Terrestrial plant
193,211857482296579_603211881156237,Jair Bolsonaro,2022-07-01,"- Isso pode afetar pessoas muito sensíveis, mas é uma verdade que não pode ser ignorada. A violência está, sim, em todos os lugares e deve ser combatida, nós inclusive endurecemos penas para crimes contra a mulher, a diferença é que para o crime organizado essa violência é lei.

- É comum ver mulheres sendo gravadas e submetidas a práticas absurdamente cruéis, que fariam inveja a qualquer grupo terrorista. Muitas pagam por motivos banais, como viver num lugar dominado por uma facção e estar em uma região dominada pelo grupo rival.

- Não há ambiente mais nocivo às mulheres do que os dominados pelo narcotráfico. Usar figuras femininas para amenizar a imagem dos que apoiam essas práticas é não apenas colaborar com o crime, mas fazer demagogia manipulando inocentes, que serão as primeiras vítimas dos criminosos.

- Enquanto uns vivem de falsas promessas e frases de efeito para enganar o público feminino, nós temos enfrentado esse verdadeiro mal, endurecendo penas para crimes contra mulher, reduzindo a violência, ampliando o direito de se defender e atacando fortemente o crime organizado.",https://www.facebook.com/522427482568011/posts/603211881156237,facebook,photo,118267,8595,16873,18:36:09,0.1473165,Font
194,211857482296579_603211881156237,Jair Bolsonaro,2022-07-01,"- Isso pode afetar pessoas muito sensíveis, mas é uma verdade que não pode ser ignorada. A violência está, sim, em todos os lugares e deve ser combatida, nós inclusive endurecemos penas para crimes contra a mulher, a diferença é que para o crime organizado essa violência é lei.

- É comum ver mulheres sendo gravadas e submetidas a práticas absurdamente cruéis, que fariam inveja a qualquer grupo terrorista. Muitas pagam por motivos banais, como viver num lugar dominado por uma facção e estar em uma região dominada pelo grupo rival.

- Não há ambiente mais nocivo às mulheres do que os dominados pelo narcotráfico. Usar figuras femininas para amenizar a imagem dos que apoiam essas práticas é não apenas colaborar com o crime, mas fazer demagogia manipulando inocentes, que serão as primeiras vítimas dos criminosos.

- Enquanto uns vivem de falsas promessas e frases de efeito para enganar o público feminino, nós temos enfrentado esse verdadeiro mal, endurecendo penas para crimes contra mulher, reduzindo a violência, ampliando o direito de se defender e atacando fortemente o crime organizado.",https://www.facebook.com/522427482568011/posts/603211881156237,facebook,photo,118267,8595,16873,18:36:09,0.1473165,Person
195,211857482296579_603211881156237,Jair Bolsonaro,2022-07-01,"- Isso pode afetar pessoas muito sensíveis, mas é uma verdade que não pode ser ignorada. A violência está, sim, em todos os lugares e deve ser combatida, nós inclusive endurecemos penas para crimes contra a mulher, a diferença é que para o crime organizado essa violência é lei.

- É comum ver mulheres sendo gravadas e submetidas a práticas absurdamente cruéis, que fariam inveja a qualquer grupo terrorista. Muitas pagam por motivos banais, como viver num lugar dominado por uma facção e estar em uma região dominada pelo grupo rival.

- Não há ambiente mais nocivo às mulheres do que os dominados pelo narcotráfico. Usar figuras femininas para amenizar a imagem dos que apoiam essas práticas é não apenas colaborar com o crime, mas fazer demagogia manipulando inocentes, que serão as primeiras vítimas dos criminosos.

- Enquanto uns vivem de falsas promessas e frases de efeito para enganar o público feminino, nós temos enfrentado esse verdadeiro mal, endurecendo penas para crimes contra mulher, reduzindo a violência, ampliando o direito de se defender e atacando fortemente o crime organizado.",https://www.facebook.com/522427482568011/posts/603211881156237,facebook,photo,118267,8595,16873,18:36:09,0.1473165,Joy
879,211857482296579_617602753050483,Jair Bolsonaro,2022-07-14,"- Se bem que a água está virando símbolo de nosso trabalho mesmo, já que está finalmente chegando nos lugares mais distantes do sertão nordestino com a conclusão das obras da Transposição do Rio São Francisco, que deveriam ter sido finalizadas há mais de uma década …",https://www.facebook.com/522427482568011/posts/617602753050483,facebook,photo,140084,15911,15525,22:26:43,0.1761153,Top
880,211857482296579_617602753050483,Jair Bolsonaro,2022-07-14,"- Se bem que a água está virando símbolo de nosso trabalho mesmo, já que está finalmente chegando nos lugares mais distantes do sertão nordestino com a conclusão das obras da Transposição do Rio São Francisco, que deveriam ter sido finalizadas há mais de uma década …",https://www.facebook.com/522427482568011/posts/617602753050483,facebook,photo,140084,15911,15525,22:26:43,0.1761153,Font
881,211857482296579_617602753050483,Jair Bolsonaro,2022-07-14,"- Se bem que a água está virando símbolo de nosso trabalho mesmo, já que está finalmente chegando nos lugares mais distantes do sertão nordestino com a conclusão das obras da Transposição do Rio São Francisco, que deveriam ter sido finalizadas há mais de uma década …",https://www.facebook.com/522427482568011/posts/617602753050483,facebook,photo,140084,15911,15525,22:26:43,0.1761153,Person
882,211857482296579_617602753050483,Jair Bolsonaro,2022-07-14,"- Se bem que a água está virando símbolo de nosso trabalho mesmo, já que está finalmente chegando nos lugares mais distantes do sertão nordestino com a conclusão das obras da Transposição do Rio São Francisco, que deveriam ter sido finalizadas há mais de uma década …",https://www.facebook.com/522427482568011/posts/617602753050483,facebook,photo,140084,15911,15525,22:26:43,0.1761153,Sleeve
1859,211857482296579_637564561054302,Jair Bolsonaro,2022-08-04,,https://www.facebook.com/522427482568011/posts/637564561054302,facebook,photo,42199,3414,3791,15:16:12,0.0469055,Technology
1860,211857482296579_637564561054302,Jair Bolsonaro,2022-08-04,,https://www.facebook.com/522427482568011/posts/637564561054302,facebook,photo,42199,3414,3791,15:16:12,0.0469055,Person
1861,211857482296579_637564561054302,Jair Bolsonaro,2022-08-04,,https://www.facebook.com/522427482568011/posts/637564561054302,facebook,photo,42199,3414,3791,15:16:12,0.0469055,Screenshot
1862,211857482296579_637564561054302,Jair Bolsonaro,2022-08-04,,https://www.facebook.com/522427482568011/posts/637564561054302,facebook,photo,42199,3414,3791,15:16:12,0.0469055,Font
1863,211857482296579_637564561054302,Jair Bolsonaro,2022-08-04,,https://www.facebook.com/522427482568011/posts/637564561054302,facebook,photo,42199,3414,3791,15:16:12,0.0469055,Terrestrial plant
1864,211857482296579_637564561054302,Jair Bolsonaro,2022-08-04,,https://www.facebook.com/522427482568011/posts/637564561054302,facebook,photo,42199,3414,3791,15:16:12,0.0469055,Joy
2097,211857482296579_639318387545586,Jair Bolsonaro,2022-08-06,,https://www.facebook.com/522427482568011/posts/639318387545586,facebook,photo,43047,2512,4059,19:42:41,0.0480249,Blazer
2098,211857482296579_639318387545586,Jair Bolsonaro,2022-08-06,,https://www.facebook.com/522427482568011/posts/639318387545586,facebook,photo,43047,2512,4059,19:42:41,0.0480249,News
2099,211857482296579_639318387545586,Jair Bolsonaro,2022-08-06,,https://www.facebook.com/522427482568011/posts/639318387545586,facebook,photo,43047,2512,4059,19:42:41,0.0480249,Screenshot
2100,211857482296579_639318387545586,Jair Bolsonaro,2022-08-06,,https://www.facebook.com/522427482568011/posts/639318387545586,facebook,photo,43047,2512,4059,19:42:41,0.0480249,Collar
